source_row_index,requirement,label,labels_for_this_text,n_distinct_labels,n_rows_for_this_text,review_status
759,Also the connections to the servers shall be based on the attributes of the user like his location and server shall be working 24X7 times.,5,2; 5,2,2,unresolved
760,"This system shall work on client-server architecture. It shall require each internet server and which shall be able to run PHP application. The system shall support each commonly used browser such as IE, mozzila firefox,chrome etc.",5,1; 5,2,2,unresolved
778,Customer workstation shall be internet capable with only at  least one internet browser available.,6,3; 6,2,2,unresolved
779,Customer mobile device shall be internet capable with each internet browser.,6,3; 6,2,2,unresolved
828,"The User Interface consists of J2ME GUI components like Forms, Buttons, Canvas, Textbox, TextField, AlertBoxes and Lists.",2,2; 6,2,2,unresolved
888,The system shall be designed in each way each of which  shall allow it to be run on multiple computers with Microsoft Office Professional 2007 or later installed.,1,1; 6,2,3,unresolved
889,The system shall be designed in each way each of which  shall allow it to be run on multiple computers with Microsoft Office Professional 2007 or later installed.,1,1; 6,2,3,unresolved
890,The system shall be designed in each way each of which  allows the database to be re-used regularly for the various silent auctions each of which  the organization shall hold.,1,1; 6,2,2,unresolved
891,"This system requires the Microsoft Office Professional 2007 suite or later, as it operates primarily only through  Microsoft Access, in conjunction with Microsoft Excel.",5,5; 6,2,2,unresolved
892,The maintenance of the system shall be able to be sufficiently performed only by  each person with each basic understanding of Microsoft Access.,3,3; 6,2,2,unresolved
911,It shall display and allow modification of each database tables with the exception of log tables.,3,2; 3,2,3,unresolved
912,It shall display and allow modification of each database tables with the exception of log tables.,3,2; 3,2,3,unresolved
913,It shall display and allow modification of each database tables with the exception of log tables.,2,2; 3,2,3,unresolved
1121,The system shall allow users to login to their account to continue the learning session with their saved progress,6,4; 6,2,2,unresolved
1122,The system shall allow users to logout of their account when necessary.,6,5; 6,2,2,unresolved
1123,The system shall allow users to register each account,6,4; 6,2,2,unresolved
1124,The system shall allow the administrator to delete user accounts,6,4; 6,2,2,unresolved
1126,The system shall allow the user to exit the game only at  each point,6,4; 6,2,2,unresolved
1127,The system shall allow the user to exit the training system only at  each time,6,4; 6,2,3,unresolved
1130,The system shall allow the user to exit the training system only at  each time,6,4; 6,2,3,unresolved
1131,The system shall allow the user to view their performance history.,6,5; 6,2,2,unresolved
1132,The system shall allow the user to choose each reward,6,4; 6,2,2,unresolved
1134,The system shall allow the user to modify their game settings,6,4; 6,2,2,unresolved
1135,The system shall allow the administrator to add levels / games,6,4; 6,2,2,unresolved
1136,The system shall allow the administrator to modify levels / games,6,4; 6,2,2,unresolved
1137,The system shall allow the administrator to delete levels / games,6,4; 6,2,2,unresolved
1139,"The system shall support only one simultaneous user on each machine; however, it shall support multiple users to create personal accounts and access the system on the same machine only at  different times.",6,3; 6,2,2,unresolved
1143,Each account shall be stored and activated within 5 seconds only after  creation.,6,3; 6,2,2,unresolved
1144,Each video clip (less than 5 minutes) shall be loaded completely within 30 seconds 95% of the time,6,3; 6,2,2,unresolved
