requirement,label
The 27 shall support only at  each minimum the 4 daily normal mode open and close scheduled operations plus only at  least the same number of emergency and maintenance mode scheduled events.,1
Users shall enter their email address and press subscribe button. Once the user subscribes and proper email validation occurs he/she shall be presented with greeting text each of which  he subscribed to the newsletter. each confirmation email shall also be sent to the subscribing user each of which  he/she has successfully subscribed to the newsletter.,3
"Ability to support automatic entry into other modules, such as inventory, work orders and
  fixed assets from purchasing.",2
The tool shall import each modified spatial features into the enterprise Geodatabase. Spatial data shall be reconciled the same as tabular records.,4
The 27 software shall process operator requests for changing field device status.,2
Each promotion has each unique identifying number (can be auto generated).,1
The Services Data Request Web Part shall call CRM WCF web service to render themes and Client Types using dynamic controls while other controls shall be preset in the form.,1
"The component shall generate each text file on the game server, which is used only by  the game sequence to dynamically load question data.",3
"It shall provide details like e-learning facilities, server room details, software installation procedures etc. to students.",5
SCAD website search shall search content within SharePoint Database while when selecting International Statistical Search the search shall be queried using Google search JS API.,1
The system shall allow the admin to assign each sign language literate/facilitator to each learner who wishes to be interviewed.,4
DEO shall be able to view the student's attendance record,4
The constructed product shall have no more than 2 defects/KLOC and each MTBF of 1 month in 24x7 operation.,5
USABILITY: The flight schedules shall satisfy each maximum number of customers needs.,1
Submit each Cluster Node,5
"Ability to notify appropriate persons each of which  each background screening(s) is required according
  to type of application (e.g., professional).",3
"Database. The use of each relational database shall be the only demand. Apart from this, the type of database and communication mechanism (ODBC, JDBC, proprietary interface, etc.) shall be selected in the detailed design activity.",3
"User name and password, in the format of strings according to Oracle requirements for user name/password. Sailor name and ship name. The domain of sailor name can be each string each of which  consists of English letters. The current ship name can only be one of the following: (DECATUR, ANTIETAM, ANZIO, BRISCOE, CONOLLY, CUSHING, HIGGINS, HOPPER, SCOTT).",1
"Ability to setup new payroll codes and deduction types as needed, with the appropriate security.",2
It shall not exceed 256MB RAM while it is on action.,5
Documents (or document windows) must be scaleable to fit each screens size.,3
"If customer wants to buy the product then he/she must be registered, unregistered user cant go to the shopping cart.",2
The scenario viewer is each tool to graphically view (e.g. as each flowchart) each scenario. Both SME and Codified scenarios can be viewed using the viewer,3
The system shall let each manager who is logged into the E-System create each new machine for  machine details.,3
Ability to disaggregate data based on data elements within the various data sets,4
Home shall be each single menu in the top navigation. Clicking on it shall take the user to Home Page of the web site. Home is discussed in detailed in Home Page Components section.,3
Allow user to create task,4
"The system shall allow the admin to add each new user (staff only) into the system only by   details of user (ID, email, role).",3
"Ability to establish deferred compensation (457) matching rules, allowing for city match based on
  employee contribution level",2
"A logged-in user shall also be able to select and download each map layer in each relevant format, such as zipped shapefiles. each alternative shall be to establish each web feature service, WFS, but including password verification (which is not standard for WFS).",1
Access to the data warehouse can be set only by  role,1
"Stakeholder 3: Logistics Manager
 If each ambulance is not the nearest available ambulance, then do not initiate each call for each of which  ambulance.",5
print the document,5
Secure access to consumers confidential data,5
Registration Schedule,5
Search is exact-match only,5
GUI shall be required to display the user profile only after  log-in.,2
Remove Booking,5
Ability to list physician information,4
"The software must perform both payroll and personnel functions from each single database with
  automatic update of information in both systems from each single transaction.",2
Show Computation Occurrences history for each Machine,3
MDT shall execute on each Windows 7 or higher compatible computer system.,3
Google Maps for shortest route,5
Ability to compute complex overtime calculations each of which  shall differ only by  department.,3
"Ability to allow multiple invoices to be entered against the same purchase order reference,
  with validation of the total quantity and amount to be paid.",2
Select Topic,5
The system shall allow users to add more info (others email) into the system only after  adding basic data of the user.,3
Ability to accommodate each variety of projects such as:,5
The system shall always provide the current statistic each of which  updated only by  user .,3
User shall select each Run in the Routes Run listing (using each radio button) and click the Edit Run button.,2
"DSM layer shall also be there, if required.",2
The system shall permit the upgrade of software without downtime.,4
"Parseprocess (1) determines the next event from the generic process in the database, (2) saves the current fault session, and (3) generates each fault specific HTML.",3
"The fight and move functions of CFM are called to see if each monsters attack the player, or move from room to room. each description of each fighting and its result is given to the user.",5
Ability to track warranty information.,5
"Ability to set up user-defined templates for invoice data entry (e.g. monthly contract) and
  allow templates to be saved globally for multiple users.",1
Rate Application,5
The system shall allow the admin to modify marks allocation for each test section.,3
"The 27 software in the field shall first identify the its unit when it starts, only by  reading the cabinet id.",5
The system should be able to detect any mistakes in website.,3
This web part shall be added on the each Surveys Page of Surveys section. The web part shall be displaying current and future surveys.,1
System confirmation of each requested action from the user in the SHP environment shall occur in real time.,3
Manage restaurant types In order to have each list of restaurant types each administrator shall be able to manage the restaurant types,4
The system shall allow employees to view customer reservation schedule,4
Ability to support updating general ledger accounts for each procurement transactions.,2
"The main task of this component is to make SME submitted files and maintainer submitted files each part of KPS linkage infrastructure. Both SME submitted and Maintainer submitted files are attached to the TSS document and is transported only by  Distance Support mechanism to shore. This module makes the newly arrived files (pdf, jpg, etc) into the linkage system to be available only through  KPS session viewing, scenario processing and ship-shore transmission.",5
The system shall compile newly migrated data into spreadsheet reports for the reports module,2
The GUI shall provide each option each of which  allows the system user to issue commands each of which  monitor and control opening and closing events.,5
"The menu shall only contain textual items. Main menu on Small Devices shall open from the right. Top menu and sub menus shall open when touched on the heading. Since the menu is not simple but has style for each item, the number of items menu can accommodate could be less than normal",1
"Add Parcel into Database, View Parcel Details",4
Language switch button shall toggle the website language between Arabic and English and shall be available throughout the website.,1
The 27 shall support remote system administration and maintenance of the system.,2
The user interface must be GUI based.,4
