requirement,true_dataset_label,true_name,pred_dataset_label,pred_name,pred_confidence,true_class_probability,confusion_group,token_count
"Accept credit and debit card payments only at  accounts desks, self checkout stations, and only through  the public web interface. Payments shall be visible in the patron account immediately, and related blocks shall be removed immediately.",6,clean,2,syntactic,0.41191089153289795,0.3377567529678345,clean_to_ambiguous,36
A movie is displayed on the screen.,6,clean,5,pragmatic,0.7399475574493408,0.0775797888636589,clean_to_ambiguous,7
"Ability to maintain inactive accounts for each user-defined period of time before purging from
  the system.",6,clean,3,semantic,0.342355340719223,0.22532160580158234,clean_to_ambiguous,16
"A reservation shall be valid for two days as of the date when the reserved book becomes available. only after  this period has expired, the reservation shall be cancelled. ACME University Library Information System SRS Page 11",5,pragmatic,2,syntactic,0.2785898447036743,0.19952209293842316,other,37
Ability to conduct in-house printing of customer surveys/QA letters,6,clean,4,syntax,0.42489126324653625,0.18548791110515594,clean_to_ambiguous,9
Content description update only through  manual adjustment,6,clean,5,pragmatic,0.38680723309516907,0.25431665778160095,clean_to_ambiguous,7
"Allows permit, inspection, code enforcement fees to be invoiced.",6,clean,2,syntactic,0.4283124804496765,0.24812008440494537,clean_to_ambiguous,9
"Ability to specify the order in which receipts are processed against outstanding receivables
  with the option of overriding the order. This shall include outstanding receivables across each modules.",6,clean,3,semantic,0.5305045247077942,0.13882894814014435,clean_to_ambiguous,28
"Ability to forgive delinquent amount only at  user defined threshold(s), and the ability to mass-apply payments to forgive values below user-defined thresholds).",6,clean,2,syntactic,0.3956620395183563,0.37062332034111023,clean_to_ambiguous,22
"Since 54 is each professional application and the users are experts, the preparation of the information in the maps and diagrams can be made suitable to the specific subject. Nevertheless, each design guidelines must be considered.",6,clean,3,semantic,0.4604400396347046,0.06345966458320618,clean_to_ambiguous,36
The system must allow user both to edit and modify operation runtime. (only business hours).,3,semantic,6,clean,0.5026552081108093,0.08092132210731506,ambiguous_to_clean,15
After ordering or surfing for the product customer has to logout.,2,syntactic,5,pragmatic,0.3251416087150574,0.17730677127838135,other,11
The tool shall use the existing editing tools provided only by  ArcGIS Desktop.,6,clean,2,syntactic,0.4641489088535309,0.22777721285820007,clean_to_ambiguous,13
The tool shall prompt the user when each record ID in the disconnected database and enterprise database has been modified. (see comment above in Stimulus: 3),4,syntax,3,semantic,0.4624730944633484,0.019345730543136597,semantic_syntax,26
"System shall display each visual timeline of artists, works of art, and other world events. Clicking on each artist, work of art, or world event displays additional information",6,clean,3,semantic,0.485088050365448,0.22125907242298126,clean_to_ambiguous,28
"Ability to roll over encumbrances, reverse the rollover, and re-roll once the fiscal year has
  closed.",6,clean,2,syntactic,0.4558020830154419,0.3469153642654419,clean_to_ambiguous,16
"Configurability: Boundary frequencies, filing type.",6,clean,5,pragmatic,0.6915896534919739,0.1014222651720047,clean_to_ambiguous,5
System shall not view the users who do not want to show themselves only at  search results.,5,pragmatic,6,clean,0.4394496977329254,0.04426172375679016,ambiguous_to_clean,17
"The software must provide the ability to specify each major system variables, e.g., chart of
  accounts, report definition, and processing parameters, only through  system administration- maintainable tables.",6,clean,3,semantic,0.35035839676856995,0.28624317049980164,clean_to_ambiguous,27
Ability for credit memos to be applied against each open invoice.,2,syntactic,3,semantic,0.32089799642562866,0.2564900815486908,other,11
The user shall be provided with the functionality to post each reply to each particular person who is the part of each of which  discussion thread.,6,clean,3,semantic,0.600559651851654,0.07642562687397003,clean_to_ambiguous,26
The user shall be able to select between downloads  for the current site only or for each sites (or stations) in the current map layer  with or without Excel lookup,2,syntactic,3,semantic,0.33525145053863525,0.07329802960157394,other,30
The system should be able to respond to every single button clicked.,6,clean,3,semantic,0.469441294670105,0.2780836522579193,clean_to_ambiguous,12
"Ability to inactive each services only at  once when each account is being closed out rather than
  having to close each service individually.",6,clean,3,semantic,0.5385674238204956,0.15021881461143494,clean_to_ambiguous,23
Ability to reverse each group of journal entries in the current reporting period.,6,clean,3,semantic,0.43472686409950256,0.18741925060749054,clean_to_ambiguous,13
"The system shall be able to provide functionality for each minute taker to manage the meeting info including add, update and delete.",6,clean,3,semantic,0.36026763916015625,0.2815723717212677,clean_to_ambiguous,22
"The system shall allow each administrator to generate online inquiry and batch reports to
  review access profiles and types given to the users defined to the system.",6,clean,3,semantic,0.38713887333869934,0.2914743721485138,clean_to_ambiguous,27
The robot shall be able to identify and move past each obstacles or walls while cleaning without the need of human help.,6,clean,3,semantic,0.5994082689285278,0.16479410231113434,clean_to_ambiguous,22
"The gamification engine shall provide services to assign gamified actions from each external application (e.g. EMIVASA virtual office), i.e. to gamify and reward points to actions from each external application.",6,clean,3,semantic,0.3643568456172943,0.15902897715568542,clean_to_ambiguous,30
The system shall allow the portal manager to contribute each blog post,6,clean,4,syntax,0.36831918358802795,0.3210659921169281,clean_to_ambiguous,12
System shall display each pop-up box preview of each search result item content element when the user hovers the mouse over the search or browse result item,6,clean,4,syntax,0.32451295852661133,0.32224392890930176,clean_to_ambiguous,27
Ability to record project activity over multiple years.,6,clean,2,syntactic,0.4066351354122162,0.31920892000198364,clean_to_ambiguous,8
Interfaces for information harvesting and metadata storing with existing similar initiatives,6,clean,5,pragmatic,0.41064727306365967,0.20861373841762543,clean_to_ambiguous,11
"When each password is copied, it remains on memory for only 10 seconds. If in the meanwhile it is not pasted anywhere, it must be copied again. each of which  happens so each of which  if user copies each password and not paste it anywhere, the password cannot be found only by  anyone later.",6,clean,5,pragmatic,0.5009549260139465,0.045642487704753876,clean_to_ambiguous,54
The tool shall allow the selection of Species in query/edit mode.,6,clean,2,syntactic,0.4675637483596802,0.28406545519828796,clean_to_ambiguous,11
"Ability to uniquely identify each sub-grantee for grants and each grant financial activity
  related to sub-grantees.",6,clean,3,semantic,0.35393911600112915,0.230444073677063,clean_to_ambiguous,16
"All information related to the user, which he/she has entered into the GUI, shall store into the relational database.",5,pragmatic,3,semantic,0.2317037135362625,0.20020227134227753,other,19
The system shall allow users to choose and add their favourite sign language GIFs.,2,syntactic,6,clean,0.4600999653339386,0.2512264549732208,ambiguous_to_clean,14
Ability to review multiple versions of budget online with proper security access.,6,clean,2,syntactic,0.5134238600730896,0.2993161976337433,clean_to_ambiguous,12
Interface for execution of specific content and showing results to end users,6,clean,2,syntactic,0.43796297907829285,0.2270413190126419,clean_to_ambiguous,12
Fully implement US MARC 21 standards.,5,pragmatic,6,clean,0.5075786113739014,0.20015689730644226,ambiguous_to_clean,6
Ability to void checks only by  check number or group of check numbers.,1,lexical,2,syntactic,0.37068888545036316,0.19025683403015137,lexical_syntactic,13
"Provide the district, schools and other staff access to appropriate education data and tools only through  each flexible, easy-to-use web interface",5,pragmatic,3,semantic,0.4267072081565857,0.061799295246601105,other,21
The software system shall provide each administration functionality via each RESTful API.,6,clean,3,semantic,0.6967728137969971,0.1306697428226471,clean_to_ambiguous,12
KeePass is each small and light project so it does not need to be installed. each it takes is unpacking from the Zip package. It can be transferred also in each USB stick with no additional configuration needed.,6,clean,3,semantic,0.5552642941474915,0.09001491963863373,clean_to_ambiguous,38
Ability to accommodate single payments applied against multiple invoices.,6,clean,2,syntactic,0.45930248498916626,0.3616769313812256,clean_to_ambiguous,9
The system shall allow the portal manager to edit each page from the portal,6,clean,4,syntax,0.3646286129951477,0.3439329266548157,clean_to_ambiguous,14
"Ability to group account numbers for internal and external reporting purposes, including
  category levels.",6,clean,2,syntactic,0.46607914566993713,0.3132724463939667,clean_to_ambiguous,14
"The software must print pertinent information about each employee's current pay on the payroll check
  and check 90, including each pay types and deductions.",2,syntactic,3,semantic,0.5506308078765869,0.1089802235364914,other,24
"Periodic inspection processing for rental properties, health inspections, business inspections.",5,pragmatic,2,syntactic,0.46164578199386597,0.21419686079025269,other,10
The system shall allow each visitor to select the language used on the front end.,6,clean,3,semantic,0.5288098454475403,0.20613396167755127,clean_to_ambiguous,15
Ability to bring in property description information from outside source,6,clean,4,syntax,0.7419210076332092,0.12266196310520172,clean_to_ambiguous,10
"The software must report status of payroll checks voided, canceled, or outstanding as each aid to bank
  statement reconciliation.",2,syntactic,3,semantic,0.47804689407348633,0.158210888504982,other,19
"Ability to manually select libraries to receive items when partial orders are received, or when items come in multiple deliveries. Especially important for incomplete shipments of serials.",6,clean,2,syntactic,0.50542813539505,0.259204238653183,clean_to_ambiguous,27
"User shall able to get online help, and user manual (both web-based and documented in PDF) to execute each functionalities of the Web-GIS tool.",1,lexical,3,semantic,0.4639213979244232,0.1302257776260376,other,24
"Order log entries have these attributes: 2.4.1.Unique ID (auto generated) 2.4.2.Time transaction took place
  2.4.3.Date transaction took place
  2.4.4.Username of customer
  2.4.5.Listing of the contents in customers shopping cart",5,pragmatic,6,clean,0.2792060375213623,0.23809683322906494,ambiguous_to_clean,29
Ability to define neighborhoods geographically and/or only by  plat and property type.,6,clean,2,syntactic,0.43731409311294556,0.3502894639968872,clean_to_ambiguous,12
Search options must work only through  each catalogue items and CMS. Search results must be prioritised based on from where the search was in- voked. Search results can also be prioritised only by  the user with the help of search options.,6,clean,3,semantic,0.47222813963890076,0.15761633217334747,clean_to_ambiguous,41
Ability to base standard charges on work order history and specific task.,1,lexical,2,syntactic,0.5022624135017395,0.16626784205436707,lexical_syntactic,12
All the tools used in the development of the 502 software must be available only at  least only until  the end of 2018.,3,semantic,2,syntactic,0.46750569343566895,0.09644096344709396,other,23
Do not list each title on each pull list more times than the branch has copies on the shelf.,6,clean,3,semantic,0.49589139223098755,0.17943714559078217,clean_to_ambiguous,19
The tool shall gather metadata information from the layers specified in the configuration file.,6,clean,2,syntactic,0.35341721773147583,0.29460111260414124,clean_to_ambiguous,14
The system shall prompt the product manager for the part description.(This field shall be empty).,1,lexical,5,pragmatic,0.355876088142395,0.10085909813642502,other,15
The system shall use data exported from the 27 database to create and format each variety of reports.,6,clean,3,semantic,0.5645122528076172,0.18925005197525024,clean_to_ambiguous,18
The system shall display the endorsed information entered for the local group registration,6,clean,4,syntax,0.42761993408203125,0.39644110202789307,clean_to_ambiguous,13
Ability to access GIS mapping data for road/street locations,2,syntactic,4,syntax,0.6075968742370605,0.11681590974330902,syntactic_syntax,9
The software shall allow the use of arrow keys and Home and End keys to facilitate moving around reports,2,syntactic,6,clean,0.3851907253265381,0.37921419739723206,ambiguous_to_clean,19
Allows the user to review each selected Computation Application,3,semantic,4,syntax,0.4663776457309723,0.2194342315196991,semantic_syntax,9
Ability to notify specified users when uncontrolled factors are being used,6,clean,4,syntax,0.7863276600837708,0.08225691318511963,clean_to_ambiguous,11
The latest release web part displays latest release publications from each 7 themes in the website.,1,lexical,3,semantic,0.4370926022529602,0.39199692010879517,other,16
"Ability to specify when adding each regular issue, supplemental issue, index issue, etc. Ability to specify additional types of issues to picklist.",6,clean,2,syntactic,0.30619120597839355,0.30213162302970886,clean_to_ambiguous,22
