requirement,label,ambiguity_category,explanation
"Update account status",1,lexical,"The term status can refer to different account states such as active, suspended, pending, or closed without naming the intended state."
"Use current records",1,lexical,"Current can mean recently created, currently valid, or the latest version, so the intended meaning is unclear."
"Open user profile",1,lexical,"Open can mean display, edit, or activate the profile, leaving the requested operation ambiguous."
"Process account request",1,lexical,"Process is overloaded and does not identify whether the system should validate, approve, route, or complete the request."
"Store active items",1,lexical,"Active has multiple possible meanings for an item and no state definition is supplied."
"Show account details",1,lexical,"Details does not identify which account fields must be displayed."
"Manage access rules",1,lexical,"Manage is ambiguous because it could mean create, edit, delete, enable, or review access rules."
"Review user roles",1,lexical,"Review could mean display, audit, approve, or modify roles, so the requested action is unclear."
"Handle failed payments",1,lexical,"Handle does not specify whether failed payments should be retried, rejected, reported, or queued."
"Use standard format",1,lexical,"Standard is undefined because the requirement names no specific format or governing standard."
"Manage account and contact details",2,syntactic,"The coordination of account and contact details does not make clear whether one action applies to both groups or different actions apply to each."
"Allow users to review",2,syntactic,"The requirement is structurally incomplete because it does not identify what users can review."
"Notify staff when approved",2,syntactic,"The sentence omits what is approved, making the condition and notification target structurally incomplete."
"Display records for managers",2,syntactic,"The phrase for managers can describe the intended audience or the records' ownership, creating two sentence structures."
"Export reports for users",2,syntactic,"For users can describe the recipient or the purpose of the reports, so the relationship is unclear."
"Allow patients view history",2,syntactic,"The missing to creates an incomplete grammatical construction around the permitted action."
"When complete send report",2,syntactic,"The conditional clause and action lack an explicit subject and system obligation."
"Users can update and approval",2,syntactic,"The coordinated verbs are grammatically inconsistent, so the intended actions cannot be parsed reliably."
"Show orders and shipped",2,syntactic,"The coordination joins an object and a state without a clear grammatical relationship."
"Permit manager change",2,syntactic,"The fragment does not identify whether manager is the actor or the object being changed."
"Archive old records",3,semantic,"Old records could mean records from a time period, records no longer active, or records superseded by newer data."
"Send it to support",3,semantic,"The pronoun it has no unambiguous antecedent in the requirement."
"Allow access to reports",3,semantic,"The requirement does not identify which role receives access or which reports are in scope."
"Delete duplicate entries",3,semantic,"Duplicate could refer to identical fields, identical business entities, or repeated imports."
"Show available options",3,semantic,"Available does not establish whether options are enabled, permitted for the role, or currently in stock."
"Use the correct address",3,semantic,"Correct is dependent on an unstated source of truth or validation rule."
"Link related records",3,semantic,"Related does not define the relationship that determines which records should be linked."
"Apply user settings",3,semantic,"The requirement does not specify which user, which settings, or when the settings apply."
"Select matching items",3,semantic,"Matching requires an unstated comparison rule or set of fields."
"Retain required data",3,semantic,"Required data is undefined because no fields, policy, or retention context is specified."
"Allow staff create task",4,syntax,"The fragment omits the infinitive marker and does not form a complete formal requirement."
"Ability to list clinic information",4,syntax,"This noun phrase is not a complete shall-statement and does not specify who or what performs the listing."
"Allow user update task",4,syntax,"The missing infinitive marker and incomplete actor phrase make the requirement structurally malformed."
"Able to search records",4,syntax,"The fragment lacks a subject and system obligation, so it is not a complete requirement sentence."
"Display report when ready",4,syntax,"The requirement is an incomplete fragment with no explicit actor or system obligation."
"System process request",4,syntax,"The sentence lacks a modal requirement verb and does not define the action structure."
"Users edit records",4,syntax,"The fragment does not state whether this is a required system capability or merely an observed user action."
"Generate invoice after approval",4,syntax,"The fragment lacks an explicit subject and obligation connecting the trigger to the action."
"Login with password",4,syntax,"The fragment does not state which component performs authentication or what successful login requires."
"Search customer records",4,syntax,"The noun phrase does not form a complete requirement and leaves the actor and obligation unstated."
